# CSV-File created with merge-csv.com
# -----------------------------------------------------------

name,authors,journal,year,publisher,cited_by_papers,abstract
Robust Recovery of Signals From a Structured Union of Subspaces,Yonina C. Eldar Moshe Mishali,IEEE Transactions on Information Theory,2009,IEEE,652,"Traditional sampling theories consider the problem of reconstructing an unknown signal x from a series of samples. A prevalent assumption which often guarantees recovery from the given measurements is that x lies in a known subspace. Recently, there has been growing interest in nonlinear but structured signal models, in which x lies in a union of subspaces. In this paper, we develop a general fram..."
Physical modeling of spiral inductors on silicon,C.P. Yue S.S. Wong,IEEE Transactions on Electron Devices,2000,IEEE,652,"This paper presents a physical model for planar spiral inductors on silicon, which accounts for eddy current effect in the conductor, crossover capacitance between the spiral and center-tap, capacitance between the spiral and substrate, substrate ohmic loss, and substrate capacitance. The model has been confirmed with measured results of inductors having a wide range of layout and process paramete..."
Decentralized Charging Control of Large Populations of Plug-in Electric Vehicles,Zhongjing Ma Duncan S. Callaway Ian A. Hiskens,IEEE Transactions on Control Systems Technology,2013,IEEE,652,"This paper develops a strategy to coordinate the charging of autonomous plug-in electric vehicles (PEVs) using concepts from non-cooperative games. The foundation of the paper is a model that assumes PEVs are cost-minimizing and weakly coupled via a common electricity price. At a Nash equilibrium, each PEV reacts optimally with respect to a commonly observed charging trajectory that is the average..."
"Collective Motion, Sensor Networks, and Ocean Sampling",Naomi Ehrich Leonard Derek A. Paley Francois Lekien Rodolphe Sepulchre David M. Fratantoni Russ E. Davis,Proceedings of the IEEE,2007,IEEE,652,"This paper addresses the design of mobile sensor networks for optimal data collection. The development is strongly motivated by the application to adaptive ocean sampling for an autonomous ocean observing and prediction system. A performance metric, used to derive optimal paths for the network of mobile sensors, defines the optimal data set as one which minimizes error in a model estimate of the s..."
Quantum-mechanical modeling of electron tunneling current from the inversion layer of ultra-thin-oxide nMOSFET's,S.-H. Lo D.A. Buchanan Y. Taur W. Wang,IEEE Electron Device Letters,1997,IEEE,652,"Quantum-mechanical modeling of electron tunneling current from the quantized inversion layer of ultra-thin-oxide (&lt;40 /spl Aring/) nMOSFET's is presented, together with experimental verification. An accurate determination of the physical oxide thickness is achieved by fitting experimentally measured capacitance-versus-voltage curves to quantum-mechanically simulated capacitance-versus-voltage resu..."
Unsupervised classification using polarimetric decomposition and the complex Wishart classifier,Jong-Sen Lee M.R. Grunes T.L. Ainsworth Li-Jen Du D.L. Schuler S.R. Cloude,IEEE Transactions on Geoscience and Remote Sensing,1999,IEEE,651,"The authors propose a new method for unsupervised classification of terrain types and man-made objects using polarimetric synthetic aperture radar (SAR) data. This technique is a combination of the unsupervised classification based on polarimetric target decomposition, S.R. Cloude et al. (1997), and the maximum likelihood classifier based on the complex Wishart distribution for the polarimetric co..."
Parallel mining of association rules,R. Agrawal J.C. Shafer,IEEE Transactions on Knowledge and Data Engineering,1996,IEEE,651,"We consider the problem of mining association rules on a shared nothing multiprocessor. We present three algorithms that explore a spectrum of trade-offs between computation, communication, memory usage, synchronization, and the use of problem specific information. The best algorithm exhibits near perfect scaleup behavior, yet requires only minimal overhead compared to the current best serial algo..."
Power semiconductor device figure of merit for high-frequency applications,B.J. Baliga,IEEE Electron Device Letters,1989,IEEE,651,"A figure of merit (the Baliga high-frequency figure of merit) is derived for power semiconductor devices operating in high-frequency circuits. Using this figure of merit, it is predicted that the power losses incurred in the power device will increase as the square root of the operating frequency and approximately in proportion to the output power. By relating the device power dissipation to the i..."
New approaches to relaxed quadratic stability condition of fuzzy control systems,Euntai Kim Heejin Lee,IEEE Transactions on Fuzzy Systems,2000,IEEE,651,This paper deals with the quadratic stability conditions of fuzzy control systems that relax the existing conditions reported in the previous literatures. Two new conditions are proposed and shown to be useful in analyzing and designing fuzzy control systems. The first one employs the S-procedure to utilize information regarding the premise parts of the fuzzy systems. The next one enlarges the cla...
Input feature selection for classification problems,N. Kwak Chong-Ho Choi,IEEE Transactions on Neural Networks,2002,IEEE,651,"Feature selection plays an important role in classifying systems such as neural networks (NNs). We use a set of attributes which are relevant, irrelevant or redundant and from the viewpoint of managing a dataset which can be huge, reducing the number of attributes by selecting only the relevant ones is desirable. In doing so, higher performances with lower computational effort is expected. In this..."
